lang,#sents,#words,#chars,avg_word_len,avg_sent_len,#unique,TTR_Words
mai,10000,65884,288223,3.526,28.822,6743,0.102
eng,10000,225036,1052283,3.721,105.228,22709,0.101
kan,10000,122400,861095,6.117,86.109,34644,0.283
san,10000,130353,858829,5.665,85.883,50506,0.387
gom,10000,58282,296807,4.264,29.681,8104,0.139
hin,10000,106402,476919,3.576,47.692,8451,0.079
mar,10000,89232,526021,5.007,52.602,19470,0.218
asm,10000,64251,311313,4.001,31.131,7196,0.112
urd,10000,97233,387031,3.083,38.703,19987,0.206
tel,10000,81281,524216,5.572,52.422,19554,0.241
tam,10000,144307,1018268,6.126,101.827,45912,0.318
snd_Arab,10000,113249,479446,3.322,47.945,7409,0.065
ben,10000,170048,877189,4.217,87.719,30007,0.176
snd_Deva,10000,70743,312570,3.56,31.257,6249,0.088
ory,10000,91919,526927,4.841,52.693,5400,0.059
npi,10000,59095,296473,4.186,29.647,7966,0.135
mni_Mtei,10000,73043,318189,3.493,31.819,7245,0.099
mal,10000,117447,985898,7.48,98.59,37010,0.315
doi,10000,75469,313613,3.288,31.361,5904,0.078
pan,10000,168450,721285,3.341,72.129,18032,0.107
brx,10000,65717,343731,4.383,34.373,7828,0.119
sat,10000,78554,360814,3.72,36.081,4067,0.052
mni_Beng,10000,186109,1208020,5.545,120.802,27350,0.147
guj,10000,175966,911173,4.235,91.117,28195,0.16
kas,10000,69270,297326,3.437,29.733,7752,0.112
